Identifiant station;Nom de la Station;Nom de la ligne;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_unifiee;pm10;pm25;no2;o3
IDFM:22025;Rue Saint-Maur;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.380486332251813;48.86413108020325;48.86413108020325, 2.380486332251813;pollution moyenne;;;;
IDFM:462971;Saint-Lazare;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3244924701707954;48.87496650103443;48.87496650103443, 2.3244924701707954;pollution moyenne;;;;
IDFM:463097;Saint-Marcel;Métro 5;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3608176665940044;48.83847698406796;48.83847698406796, 2.3608176665940044;pollution moyenne;;;;
IDFM:480341;Saint-Ouen;Métro 14;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3227559546697414;48.90516956991565;48.90516956991565, 2.3227559546697414;pollution moyenne;;;;
IDFM:22164;Trocadéro;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.287625377853519;48.86346147371448;48.86346147371448, 2.287625377853519;pollution moyenne;;;;
IDFM:463041;Tuileries;Métro 1;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3296780947116416;48.864477839314645;48.864477839314645, 2.3296780947116416;pollution faible;;;;
IDFM:462988;Villiers;Métro 2;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.31576144923934;48.88121227337839;48.88121227337839, 2.3157614492393397;pollution moyenne;;;;
IDFM:463070;Wagram;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.304673087584434;48.8838463907272;48.8838463907272, 2.304673087584434;pollution moyenne;;;;
IDFM:463118;Alésia;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3271926250651647;48.82815215770352;48.828152157703514, 2.3271926250651647;pollution faible;;;;
IDFM:483314;Bagneux - Lucie Aubrac;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.317458362049886;48.80354822259104;48.80354822259104, 2.317458362049886;pollution faible;;;;
